IDENT	LATITUDE	LONGITUDE
EPMIT	53,193888889	16,154444444
EPKRK	49,665555556	21,610833333
EPKRI	49,605	21,806944444
EPKRH	49,670277778	21,889166667
EPODW	53,747222222	20,235555556
EPODN	53,835	20,475
EPODS	53,695833333	20,412777778
EPSKM	54,456944444	17,210277778
EPRZH	50,019444444	22,259444444
EPLBD	51,345555556	22,640555556
EPLBB	51,090277778	22,287777778
EPLBR	51,328333333	22,996944444
EPLBL	51,303888889	22,870277778
EPLBE	51,160555556	22,945277778
EPLBP	51,13	22,836944444
EPLBW	51,349722222	22,345
EPLBZ	51,177777778	22,528333333
EPZPA	51,966388889	15,533333333
EPZPC	52,002777778	15,416666667
EPLYI	51,976841667	19,375377778
EPLYP	52,006702778	19,543744444
EPLYS	51,956652778	19,181738889
EPLKX	51,5125	19,025555556
EPLKZ	51,465555556	19,218888889
EPRUW	50,9025	19,0675
EPZPN	51,997222222	15,466666667
EPZPS	51,922222222	15,444444444
EPZPZ	51,999722222	15,566666667
EPSYB	53,544444444	20,820277778
EPSYE	53,473888889	20,9675
EPSYW	53,501944444	20,898611111
EPSYZ	53,420277778	21,118055556
EPMOQ	52,377777778	20,186944444
EPLLC	51,731944444	18,953611111
EPSNM	53,810833333	15,861666667
EPSNS	53,700277778	15,818888889
EPMIG	53,370833333	16,427777778
EPZAS	50,750947222	23,240716667
EPZAZ	50,721827778	23,133688889
EPZAB	50,717922222	23,032702778
EPZAL	50,663219444	23,195447222
EPZAA	50,593813889	23,174497222
EPBCE	52,181666667	20,986111111
EPKTW	50,583333333	19,058333333
EPKTC	50,623611111	18,836111111
EPPOS	52,377777778	16,825555556
EPPON	52,465277778	16,859444444
PO927	52,403030889	16,356927583
PO926	52,350614	16,632163611
PO941	52,139783333	16,685307667
PO924	52,322350667	16,778927889
PO923	52,291059861	16,940073306
PO922	52,259576806	17,100852889
PO931	52,289951222	17,48858125
PO921	52,357502889	17,152108111
PO904	52,751197806	16,899281861
PO903	52,651661111	16,973101944
EPKKZ	50,109166667	19,779444444
EPBCL	52,333333333	20,883333333
EPSNT	53,758333333	15,538888889
EPRAN	51,443055556	21,2
EPRAK	51,273055556	21,460277778
EPBCA	52,0632	20,743219444
EPBCB	52,184288889	20,613872222
EPBCG	51,990702778	21,234702778
EPBCM	52,222725	21,249866667
